iter	Passed	Remaining
805	1759	423
806	1760	421
807	1762	418
808	1764	416
809	1766	414
810	1767	411
811	1769	409
812	1771	407
813	1772	405
814	1774	402
815	1776	400
816	1778	398
817	1779	396
818	1781	393
819	1783	391
820	1785	389
821	1786	386
822	1788	384
823	1790	382
824	1792	380
825	1793	377
826	1795	375
827	1797	373
828	1799	371
829	1800	368
830	1802	366
831	1804	364
832	1805	362
833	1807	359
834	1809	357
835	1811	355
836	1812	353
837	1814	350
838	1816	348
839	1818	346
840	1819	344
841	1821	341
842	1823	339
843	1824	337
844	1826	335
845	1828	332
846	1829	330
847	1831	328
848	1833	326
849	1835	323
850	1836	321
851	1838	319
852	1840	317
853	1842	314
854	1843	312
855	1845	310
856	1847	308
857	1848	305
858	1850	303
859	1852	301
860	1854	299
861	1855	297
862	1857	294
863	1859	292
864	1860	290
865	1862	288
866	1864	286
867	1866	283
868	1867	281
869	1869	279
870	1871	277
871	1873	274
872	1874	272
873	1876	270
874	1878	268
875	1879	266
876	1881	263
877	1883	261
878	1885	259
879	1887	257
880	1889	255
881	1891	253
882	1893	250
883	1895	248
884	1897	246
885	1898	244
886	1900	242
887	1902	239
888	1904	237
889	1905	235
890	1907	233
891	1909	231
892	1911	228
893	1912	226
894	1914	224
895	1916	222
896	1917	220
897	1919	218
898	1921	215
899	1923	213
900	1925	211
901	1927	209
902	1928	207
903	1930	205
904	1932	202
905	1934	200
906	1936	198
907	1938	196
908	1940	194
909	1942	192
910	1944	189
911	1946	187
912	1948	185
913	1950	183
914	1951	181
915	1953	179
916	1955	177
917	1957	174
918	1959	172
919	1961	170
920	1963	168
921	1965	166
922	1967	164
923	1969	162
924	1971	159
925	1973	157
926	1975	155
927	1977	153
928	1978	151
929	1980	149
930	1982	146
931	1984	144
932	1985	142
933	1987	140
934	1989	138
935	1991	136
936	1992	133
937	1994	131
938	1996	129
939	1997	127
940	1999	125
941	2001	123
942	2003	121
943	2004	118
944	2006	116
945	2008	114
946	2010	112
947	2011	110
948	2013	108
949	2015	106
950	2016	103
951	2018	101
952	2020	99
953	2022	97
954	2023	95
955	2025	93
956	2027	91
957	2029	88
958	2030	86
959	2032	84
960	2034	82
961	2036	80
962	2037	78
963	2039	76
964	2041	74
965	2043	71
966	2044	69
967	2046	67
968	2048	65
969	2050	63
970	2051	61
971	2053	59
972	2055	57
973	2057	54
974	2058	52
975	2060	50
976	2062	48
977	2064	46
978	2065	44
979	2067	42
980	2069	40
981	2071	37
982	2072	35
983	2074	33
984	2076	31
